"id","st_code","st_name","opening","lat","lon","x","y"
154,"DT10/TE11","STEVENS MRT STATION","2015-12-27 00:00:00","1.320064891243947","103.82602406891276","27188.2300","33591.6609"
155,"PW6","SUMANG LRT STATION","2014-06-29 00:00:00","1.408451758981466","103.89855812067263","35260.2918","43365.1308"
156,"DT37/TE31","SUNGEI BEDOK MRT STATION","2024-12-30 00:00:00","1.320254","103.956606","NR","NR"
157,"CC11","TAI SENG MRT STATION","2010-04-17 00:00:00","1.3351014186956016","103.88843267943263","34133.6572","35254.3905"
158,"DT33","TAMPINES EAST MRT STATION","2017-12-30 00:00:00","1.3561908163715581","103.95463412940991","41501.0749","37586.6178"
159,"EW2/DT32","TAMPINES MRT STATION","1989-12-16 00:00:00","1.353300746832109","103.94514446349424","40444.9966","37266.9972"
160,"DT31","TAMPINES WEST MRT STATION","2017-12-30 00:00:00","1.3455146386358077","103.93843663789363","39698.5276","36406.0143"
161,"DT8","TAN KAH KEE MRT STATION","2015-12-27 00:00:00","1.3255555684278373","103.80775997131852","25155.6221","34198.8053"
162,"EW4","TANAH MERAH MRT STATION","1989-11-04 00:00:00","1.3271864678725507","103.94634612714073","40578.8616","34379.4144"
163,"EW15","TANJONG PAGAR MRT STATION","1987-12-12 00:00:00","1.2766038200556853","103.845951861369","29406.0209","28785.9619"
164,"TE23","TANJONG RHU MRT STATION","2023-12-30 00:00:00","1.296939","103.873345","NR","NR"
165,"BP4","TECK WHYE LRT STATION","1999-11-06 00:00:00","1.376684012777715","103.75371189893323","19140.8000","39852.4608"
166,"DT18","TELOK AYER MRT STATION","2013-12-22 00:00:00","1.2820682811102302","103.84864844760584","29706.1259","29390.1954"
167,"CC28","TELOK BLANGAH MRT STATION","2011-10-08 00:00:00","1.2707058109480818","103.80976127787605","25378.2908","28133.7991"
168,"BP14","TEN MILE JUNCTION LRT STATION","1999-11-06 00:00:00","1.3803203418268206","103.76013944407805","19856.1189","40254.5250"
169,"SW4","THANGGAM LRT STATION","2005-01-29 00:00:00","1.3973174892330393","103.87563482310388","32709.2689","42133.9004"
170,"EW17","TIONG BAHRU MRT STATION","1988-03-12 00:00:00","1.2861939126673076","103.82699860638131","27296.6770","29846.3822"
171,"NS19","TOA PAYOH MRT STATION","1987-11-07 00:00:00","1.3326283204561375","103.84750143100314","29578.4408","34980.8638"
172,"SW7","TONGKANG LRT STATION","2005-01-29 00:00:00","1.3893472871975632","103.88584381654691","33845.4132","41252.6184"
173,"EW31","TUAS CRESCENT MRT STATION","2016-12-30 00:00:00","1.3210258865785238","103.64907514463629","7495.5309","33698.6818"
174,"EW33","TUAS LINK MRT STATION","2016-12-30 00:00:00","1.340865428972272","103.63698526946176","6150.2146","35892.5527"
175,"EW32","TUAS WEST ROAD MRT STATION","2016-12-30 00:00:00","1.3299884223858685","103.63961372334985","6442.6401","34689.7988"
176,"DT27","UBI MRT STATION","2017-12-30 00:00:00","1.32997396213734","103.89922632177435","35334.8918","34687.4518"
177,"DT34","UPPER CHANGI MRT STATION","2017-12-30 00:00:00","1.3417368172278445","103.96147145513385","42262.0767","35988.4036"
178,"TE8","UPPER THOMSON MRT STATION","2020-12-30 00:00:00","1.3544157670596382","103.83289813514344","27953.2465","37390.0037"
179,"NS9/TE2","WOODLANDS MRT STATION","1996-02-10 00:00:00","1.4369675806689064","103.78646211824719","22785.6286","46518.2186"
180,"TE1","WOODLANDS NORTH MRT STATION","2019-12-30 00:00:00","1.4474647438244759","103.7865004013077","22789.9128","47678.9425"
181,"TE3","WOODLANDS SOUTH MRT STATION","2019-12-30 00:00:00","1.427432749389898","103.79324426891664","23540.3601","45463.8903"
182,"NE11","WOODLEIGH MRT STATION","2011-06-20 00:00:00","1.3391893788582498","103.87081797602744","32173.3186","35706.3794"
183,"DT36","XILIN MRT STATION","2024-12-30 00:00:00","1.329079","103.964077","NR","NR"
184,"NS5","YEW TEE MRT STATION","1996-02-10 00:00:00","1.3975343511274423","103.74740478088702","18438.9791","42158.0124"
185,"NS15","YIO CHU KANG MRT STATION","1987-11-07 00:00:00","1.381755379446197","103.84494695641784","29294.1283","40413.0820"
186,"NS13","YISHUN MRT STATION","1988-12-20 00:00:00","1.429442414144248","103.83500471286109","28187.6787","45686.0701"
